NAME,LINK,PRICE,QUANTITY,Need To buy?
ESP32 DevKitC,https://www.aliexpress.com/item/1005007084388623.html?spm=a2g0o.detail.0.0.17fcu9H1u9H1Gp&mp=1#nav-review,"$5,13",1,Yes
SSD1306,https://www.aliexpress.com/item/1005006141235306.html?spm=a2g0o.detail.0.0.7db0yObXyObXpc&mp=1,"$1,00",1,Yes
Cherry Mx Switch,https://www.aliexpress.com/item/1005008586371182.html?spm=a2g0o.productlist.main.5.1ec2tPXFtPXFrn&algo_pvid=3f7b64de-8767-4574-abf2-40f9073028dd&pdp_ext_f=%7B%22order%22%3A%22130%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008586371182%7C_p_origin_prod%3A,"$2,09",1,No
Cherry Mx Keycaps,https://www.aliexpress.com/item/1005002906017844.html?spm=a2g0o.productlist.main.2.7587d75duLmAxW&algo_pvid=7f1486d7-8f33-438b-a090-75c0d12eb0bc&pdp_ext_f=%7B%22order%22%3A%22578%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002906017844%7C_p_origin_prod%3A,"$1,00",1,No
3D Case,Printing Legion,"$5,00",1,Yes
PCB,JLCPCB,"$5,00",1,Yes
TOTAL:,,"$19,22",,
